统计序号,client发送时间(us),client接收时间(us),server发送时间(us),server接收时间(us),本地总线间隔时间(us),占比百分比(%),服务端间隔时间(us),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%)
180,22129135939,22129204725,22129142269,22129196203,4755.345601,21.591603,17268.7052,78.408397,27.53736,363.143011
181,22129204743,22129273440,22129214120,22129268157,4693.870625,21.340088,17301.68397,78.659912,27.129559,368.601637
182,22129273460,22129342131,22129279709,22129333173,4869.010272,22.144719,17118.21958,77.855281,28.443439,351.574933
183,22129342148,22129417167,22129351523,22129406360,6461.916572,26.902518,17557.8297,73.097482,36.803618,271.712417
184,22129417188,22129485861,22129423384,22129478147,4453.733996,20.255413,17534.13622,79.744587,25.400362,393.695183
185,22129485885,22129560711,22129495290,22129550744,6202.569014,25.889397,17755.3821,74.110603,34.933458,286.258517
186,22129560734,22129629507,22129570032,22129624769,4494.07695,20.409172,17525.81149,79.590828,25.642618,389.975777
187,22129629525,22129698212,22129635771,22129689734,4714.362284,21.436371,17277.99049,78.563629,27.285362,366.496876
188,22129698230,22129767049,22129707628,22129761722,4714.682466,21.396707,17319.93435,78.603293,27.221134,367.36163
189,22129767070,22129835694,22129773268,22129827099,4736.454853,21.556598,17235.72644,78.443402,27.480448,363.895086
190,22129835715,22129910664,22129845235,22129900228,6389.555401,26.626106,17607.77812,73.373894,36.288255,275.571257
191,22129910686,22129979384,22129920041,22129974349,4607.421439,20.946752,17388.45333,79.053248,26.497017,377.400973
192,22129979407,22130048148,22129985654,22130039250,4849.158977,22.031975,17160.48363,77.968025,28.257706,353.885771
193,22130048168,22130116800,22130057376,22130111260,4722.046656,21.488518,17252.69609,78.511482,27.369906,365.364795
194,22130116818,22130185451,22130123028,22130177479,4540.823547,20.663529,17434.23939,79.336471,26.045435,383.944437
195,22130185467,22130260481,22130194830,22130249302,6577.182154,27.384222,17440.96321,72.615778,37.711118,265.17379
196,22130260502,22130329187,22130266776,22130320872,4671.137691,21.240446,17320.57471,78.759554,26.968722,370.799918
197,22130329208,22130404158,22130338579,22130393466,6423.814894,26.768512,17573.83881,73.231488,36.553282,273.573244
198,22130404180,22130472766,22130413475,22130467796,4567.398667,20.798705,17392.6157,79.201295,26.260562,380.799159
199,22130472782,22130541515,22130479071,22130533695,4517.450248,20.527258,17489.6309,79.472742,25.829306,387.157134
200,22130541532,22130616540,22130550896,22130606407,6242.591785,25.993227,17773.63249,74.006773,35.122768,284.715597
201,22130616562,22130691504,22130626040,22130681554,6220.499215,25.924048,17774.59303,74.075952,34.996577,285.742228
202,22130691525,22130766466,22130700911,22130755750,6436.301998,26.823768,17558.47007,73.176232,36.656394,272.803701
203,22130766487,22130841499,22130775856,22130830442,6540.041022,27.23031,17477.46398,72.76969,37.419851,267.237834
204,22130841523,22130910137,22130847710,22130904660,3734.604841,16.999446,18234.37463,83.000554,20.481124,488.254458
205,22130910158,22130978862,22130916423,22130973456,3736.846116,16.987366,18260.94975,83.012634,20.463591,488.672779
206,22130978883,22131053813,22130985134,22131042671,5568.928498,23.212332,18422.32156,76.787668,30.229244,330.805496
207,22131053834,22131122487,22131060105,22131115929,4107.61707,18.686729,17873.84951,81.313271,22.981155,435.139138
208,22131122504,22131191252,22131128745,22131184997,4000.996407,18.176529,18010.88748,81.823471,22.214321,450.160051
209,22131191273,22131259955,22131197520,22131253480,4073.357578,18.523048,17917.39428,81.476952,22.734096,439.867945
210,22131259977,22131334910,22131266241,22131325664,4966.02547,20.698491,19026.18514,79.301509,26.101005,383.127015
211,22131334931,22131409877,22131344421,22131402304,5463.268381,22.767059,18533.1046,77.232941,29.478431,339.231085
212,22131409898,22131478597,22131416193,22131472216,4058.629198,18.451506,17937.56576,81.548494,22.626421,441.961186
213,22131478618,22131547324,22131484881,22131541812,3770.145062,17.138241,18228.29117,82.861759,20.682932,483.490446
214,22131547345,22131616038,22131553592,22131609600,4061.510837,18.466219,17932.76303,81.533781,22.64855,441.529365
215,22131616101,22131684658,22131622302,22131680218,3407.05848,15.521391,18543.67061,84.478609,18.373161,544.272155
216,22131684677,22131759693,22131690949,22131749449,5288.128734,22.016636,18730.657,77.983364,28.232479,354.201986
217,22131759714,22131834672,22131769066,22131826332,5664.662967,23.602551,18335.5522,76.397449,30.894423,323.683021
218,22131834692,22131909615,22131844139,22131900366,5986.125866,24.953619,18002.88292,75.046381,33.250929,300.743475
219,22131909636,22131984565,22131919025,22131975623,5869.259374,24.464493,18121.67051,75.535507,32.38807,308.75566
220,22131984589,22132059506,22131993946,22132050714,5810.986219,24.225476,18176.10148,75.774524,31.970476,312.788583
221,22132059526,22132134427,22132069046,22132124764,6142.054583,25.61114,17839.9102,74.38886,34.42873,290.45509
222,22132134445,22132209536,22132143815,22132200316,5952.186556,24.756629,18090.61284,75.243371,32.902073,303.932222
223,22132209557,22132284137,22132219125,22132275063,5968.836029,24.995977,17910.35027,75.004023,33.326183,300.064371
224,22132284149,22132346595,22132287266,22132342402,2340.531669,11.706114,17653.56417,88.293886,13.258125,754.254446
225,22132346604,22132408973,22132353850,22132406364,3155.395294,15.801119,16814.04652,84.198881,18.766424,532.866565
226,22132408979,22132471542,22132412129,22132465873,2823.686565,14.096191,17207.87059,85.903809,16.409274,609.411498
227,22132471553,22132540368,22132477899,22132532193,4649.365303,21.101504,17383.97078,78.898496,26.745128,373.899869
228,22132540379,22132609288,22132543455,22132603308,2899.569739,13.14197,19163.86347,86.85803,15.130403,660.920936
229,22132609310,22132684112,22132615531,22132675331,4803.372927,20.055613,19146.89382,79.944387,25.086957,398.613518
230,22132684128,22132752822,22132687721,22132744536,3803.444008,17.292631,18191.15004,82.707369,20.908211,478.281
231,22132752839,22132827836,22132762225,22132820354,5400.832858,22.491566,18611.86941,77.508434,29.018218,344.611098
232,22132827852,22132902734,22132837143,22132895674,5235.298676,21.835688,18740.58264,78.164312,27.935624,357.965874
233,22132902755,22132977890,22132909132,22132968537,5036.465547,20.935649,19020.42186,79.064351,26.479253,377.654164
234,22132977911,22133052758,22132987193,22133046359,5020.776621,20.95074,18943.89832,79.04926,26.503397,377.310121
235,22133052779,22133121486,22133059054,22133115707,3859.475887,17.544064,18139.28053,82.455936,21.276896,469.993363
236,22133121507,22133190160,22133127710,22133185071,3615.497073,16.447934,18365.9695,83.552066,19.685849,507.9791
237,22133190182,22133258852,22133196392,22133253568,3680.173872,16.738022,18306.7358,83.261978,20.10284,497.442144
238,22133258870,22133327665,22133265123,22133321060,4116.902353,18.690312,17910.03009,81.309688,22.986574,435.036553
239,22133327686,22133396347,22133333889,22133389901,4049.984279,18.422394,17934.04375,81.577606,22.582661,442.817614
240,22133396368,22133464984,22133402627,22133459269,3833.861314,17.45074,18135.75852,82.54926,21.13979,473.04159
241,22133465001,22133533786,22133471279,22133528282,3772.386337,17.128734,18251.34429,82.871266,20.669088,483.814293
242,22133533807,22133602414,22133540066,22133596080,4032.054077,18.35527,17934.68412,81.64473,22.48188,444.802668
243,22133602432,22133671125,22133608693,22133665744,3727.560833,16.94787,18266.71303,83.05213,20.406303,490.044666
244,22133671143,22133739836,22133677411,22133733701,3971.219465,18.055697,18023.0544,81.944303,22.034109,453.841812
245,22133739853,22133808554,22133746061,22133803718,3536.091895,16.075457,18460.74343,83.924543,19.154656,522.06628
246,22133808571,22133877324,22133814845,22133872843,3443.559247,15.642954,18569.92555,84.357046,18.543743,539.265458
