统计序号,client发送时间(count),client接收时间(count),server发送时间(count),server接收时间(count),本地总线间隔时间(us),占比百分比(%),服务端间隔时间(us),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%)
223,78298110048,78298166313,78298111273,78298164754,891.387164,4.948014,17123.662679,95.051986,5.205587,1921.012931
224,78298166320,78298222141,78298167775,78298221099,799.494881,4.473227,17073.394078,95.526773,4.682694,2135.522627
225,78298222149,78298278792,78298223050,78298277355,748.585915,4.127606,17387.492788,95.872394,4.305313,2322.711719
226,78298278826,78298337071,78298279998,78298335242,960.866695,5.152374,17688.143846,94.847626,5.432264,1840.853049
227,78298337078,78298394434,78298338707,78298392865,1023.942582,5.575703,17340.426009,94.424297,5.904945,1693.495935
228,78298394438,78298451222,78298395908,78298449235,1106.869765,6.087983,17074.354625,93.912017,6.482645,1542.580272
229,78298451229,78298506831,78298452740,78298505102,1037.390234,5.827129,16765.378830,94.172871,6.187693,1616.111111
230,78298506837,78298563469,78298508300,78298561631,1056.921346,5.828860,17075.635353,94.171140,6.189646,1615.601333
231,78298563476,78298619175,78298565018,78298617621,991.284001,5.558448,16842.542733,94.441552,5.885596,1699.063307
232,78298619180,78298675460,78298620722,78298673876,1000.889466,5.554371,17018.963109,94.445629,5.881025,1700.383877
233,78298675465,78298732832,78298677112,78298731441,972.713435,5.295728,17395.177160,94.704272,5.591857,1788.314681
234,78298732838,78298787836,78298733889,78298786309,825.429636,4.687443,16783.949396,95.312557,4.917970,2033.359193
235,78298787841,78298845877,78298789381,78298844078,1069.088268,5.753326,17513.004199,94.246674,6.104540,1638.125187
236,78298845884,78298903350,78298847265,78298901802,937.813578,5.096927,17461.775052,94.903073,5.370666,1861.966541
237,78298903355,78298960022,78298904819,78298958244,1038.030598,5.721143,17105.732478,94.278857,6.068320,1647.902529
238,78298960028,78299018644,78298961586,78299017062,1005.372016,5.356899,17762.426110,94.643101,5.660105,1766.751592
239,78299018652,78299075572,78299019689,78299073856,881.461516,4.836613,17343.307648,95.163387,5.082430,1967.562659
240,78299075578,78299132585,78299076907,78299131434,794.051784,4.350343,17458.573230,95.649657,4.548205,2198.669355
241,78299132594,78299187848,78299133459,78299186256,786.687594,4.446737,16904.658074,95.553263,4.653674,2148.840049
242,78299187854,78299245890,78299189484,78299244456,981.038171,5.279482,17601.054296,94.720518,5.573747,1794.125326
243,78299245896,78299303859,78299247357,78299301962,1075.171730,5.793351,17483.547439,94.206649,6.149620,1626.116736
244,78299303866,78299359526,78299305382,78299357921,999.288555,5.607258,16822.051074,94.392742,5.940349,1683.402756
245,78299359533,78299415643,78299360997,78299414089,966.309792,5.378720,16999.111815,94.621280,5.684472,1759.178264
