统计序号,client发送时间(ms),client接收时间(ms),server发送时间(ms),server接收时间(ms),本地总线间隔时间(ms),占比百分比(%),服务端间隔时间(ms),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%),,单程1,单程2
280,14401294,14401388,14401325,14401357,62,65.957447,32,34.042553,193.75,51.612903,,31,31
281,14401388,14401450,14401403,14401435,30,48.387097,32,51.612903,93.75,106.666667,,15,15
282,14401450,14401544,14401481,14401513,62,65.957447,32,34.042553,193.75,51.612903,,31,31
283,14401544,14401591,14401559,14401575,31,65.957447,16,34.042553,193.75,51.612903,,15,16
284,14401591,14401700,14401637,14401653,93,85.321101,16,14.678899,581.25,17.204301,,46,47
285,14401700,14401747,14401700,14401731,16,34.042553,31,65.957447,51.612903,193.75,,0,16
286,14401747,14401840,14401778,14401809,62,66.666667,31,33.333333,200,50,,31,31
287,14401840,14401887,14401856,14401871,32,68.085106,15,31.914894,213.333333,46.875,,16,16
288,14401887,14401996,14401918,14401949,78,71.559633,31,28.440367,251.612903,39.74359,,31,47
289,14401996,14402043,14401996,14402027,16,34.042553,31,65.957447,51.612903,193.75,,0,16
